vgs	I(R1)
0.000000000000000e+00	3.774758e-12
1.000000000000000e-02	4.662937e-12
2.000000000000000e-02	6.161738e-12
3.000000000000000e-02	7.827072e-12
4.000000000000000e-02	1.010303e-11
5.000000000000000e-02	1.293410e-11
6.000000000000000e-02	1.676437e-11
7.000000000000001e-02	2.164935e-11
8.000000000000000e-02	2.797762e-11
9.000000000000000e-02	3.624878e-11
9.999999999999999e-02	4.712897e-11
1.100000000000000e-01	6.117329e-11
1.200000000000000e-01	7.949197e-11
1.300000000000000e-01	1.033063e-10
1.400000000000000e-01	1.343370e-10
1.500000000000000e-01	1.746936e-10
1.600000000000000e-01	2.270961e-10
1.700000000000000e-01	2.952083e-10
1.800000000000000e-01	3.836931e-10
1.900000000000000e-01	4.984901e-10
2.000000000000000e-01	6.470935e-10
2.100000000000000e-01	8.392731e-10
2.200000000000001e-01	1.086242e-09
2.300000000000001e-01	1.401046e-09
2.400000000000001e-01	1.789457e-09
2.500000000000001e-01	2.251976e-09
2.600000000000001e-01	2.812472e-09
2.700000000000001e-01	3.499201e-09
2.800000000000001e-01	4.357958e-09
2.900000000000001e-01	5.489081e-09
3.000000000000001e-01	6.979750e-09
3.100000000000001e-01	8.914148e-09
3.200000000000001e-01	1.139960e-08
3.300000000000001e-01	1.457937e-08
3.400000000000001e-01	1.863701e-08
3.500000000000001e-01	2.379977e-08
3.600000000000002e-01	3.035200e-08
3.700000000000002e-01	3.864638e-08
3.800000000000002e-01	4.911721e-08
3.900000000000002e-01	6.229568e-08
4.000000000000002e-01	7.882559e-08
4.100000000000002e-01	9.947740e-08
4.200000000000002e-01	1.251561e-07
4.300000000000002e-01	1.568942e-07
4.400000000000002e-01	1.958158e-07
4.500000000000002e-01	2.430500e-07
4.600000000000002e-01	2.995735e-07
4.700000000000003e-01	3.659819e-07
4.800000000000003e-01	4.422432e-07
4.900000000000003e-01	5.275448e-07
5.000000000000002e-01	6.203349e-07
5.100000000000002e-01	7.185500e-07
5.200000000000002e-01	8.199125e-07
5.300000000000002e-01	9.221885e-07
5.400000000000003e-01	1.023360e-06
5.500000000000003e-01	1.121723e-06
5.600000000000003e-01	1.215933e-06
5.700000000000003e-01	1.305008e-06
5.800000000000003e-01	1.388307e-06
5.900000000000003e-01	1.465487e-06
6.000000000000003e-01	1.536454e-06
6.100000000000003e-01	1.601306e-06
6.200000000000003e-01	1.660284e-06
6.300000000000003e-01	1.713726e-06
6.400000000000003e-01	1.762026e-06
6.500000000000004e-01	1.805609e-06
6.600000000000004e-01	1.844904e-06
6.700000000000004e-01	1.880328e-06
6.800000000000004e-01	1.912280e-06
6.900000000000004e-01	1.941129e-06
7.000000000000004e-01	1.967215e-06
7.100000000000004e-01	1.990845e-06
7.200000000000004e-01	2.012296e-06
7.300000000000004e-01	2.031813e-06
7.400000000000004e-01	2.049614e-06
7.500000000000004e-01	2.065893e-06
7.600000000000005e-01	2.080820e-06
7.700000000000005e-01	2.094544e-06
7.800000000000005e-01	2.107197e-06
7.900000000000005e-01	2.118894e-06
8.000000000000005e-01	2.129736e-06
8.100000000000005e-01	2.139811e-06
8.200000000000005e-01	2.149199e-06
8.300000000000005e-01	2.157966e-06
8.400000000000005e-01	2.166175e-06
8.500000000000005e-01	2.173878e-06
8.600000000000005e-01	2.181121e-06
8.700000000000006e-01	2.187947e-06
8.800000000000006e-01	2.194392e-06
8.900000000000006e-01	2.200489e-06
9.000000000000006e-01	2.206267e-06
9.100000000000006e-01	2.211752e-06
9.200000000000006e-01	2.216967e-06
9.300000000000006e-01	2.221933e-06
9.400000000000006e-01	2.226668e-06
9.500000000000006e-01	2.231190e-06
9.600000000000006e-01	2.235512e-06
9.700000000000006e-01	2.239650e-06
9.800000000000006e-01	2.243615e-06
9.900000000000007e-01	2.247418e-06
1.000000000000001e+00	2.251070e-06
1.010000000000001e+00	2.254581e-06
1.020000000000001e+00	2.257957e-06
1.030000000000001e+00	2.261208e-06
1.040000000000001e+00	2.264341e-06
1.050000000000001e+00	2.267362e-06
1.060000000000001e+00	2.270277e-06
1.070000000000001e+00	2.273092e-06
1.080000000000001e+00	2.275812e-06
1.090000000000001e+00	2.278441e-06
1.100000000000001e+00	2.280985e-06
1.110000000000001e+00	2.283448e-06
1.120000000000001e+00	2.285833e-06
1.130000000000001e+00	2.288143e-06
1.140000000000001e+00	2.290383e-06
1.150000000000001e+00	2.292556e-06
1.160000000000001e+00	2.294664e-06
1.170000000000001e+00	2.296711e-06
1.180000000000001e+00	2.298698e-06
1.190000000000001e+00	2.300629e-06
1.200000000000001e+00	2.302505e-06
1.210000000000001e+00	2.304329e-06
1.220000000000001e+00	2.306104e-06
1.230000000000001e+00	2.307830e-06
1.240000000000001e+00	2.309510e-06
1.250000000000001e+00	2.311145e-06
1.260000000000001e+00	2.312738e-06
1.270000000000001e+00	2.314289e-06
1.280000000000001e+00	2.315801e-06
1.290000000000001e+00	2.317274e-06
1.300000000000001e+00	2.318711e-06
1.310000000000001e+00	2.320112e-06
1.320000000000001e+00	2.321478e-06
1.330000000000001e+00	2.322811e-06
1.340000000000001e+00	2.324112e-06
1.350000000000001e+00	2.325382e-06
1.360000000000001e+00	2.326622e-06
1.370000000000001e+00	2.327833e-06
1.380000000000001e+00	2.329016e-06
1.390000000000001e+00	2.330172e-06
1.400000000000001e+00	2.331301e-06
1.410000000000001e+00	2.332404e-06
1.420000000000001e+00	2.333483e-06
1.430000000000001e+00	2.334538e-06
1.440000000000001e+00	2.335570e-06
1.450000000000001e+00	2.336579e-06
1.460000000000001e+00	2.337566e-06
1.470000000000001e+00	2.338532e-06
1.480000000000001e+00	2.339477e-06
1.490000000000001e+00	2.340402e-06
1.500000000000000e+00	2.341307e-06
